Hospitalizations - Total,Cases - Total,Deaths - Total,Date
23.0,143.0,9.0,02/14/2021
36.0,388.0,2.0,08/14/2022
12.0,166.0,3.0,03/07/2022
38.0,558.0,3.0,08/17/2021
104.0,2065.0,35.0,12/07/2020
10.0,94.0,0.0,03/13/2024
40.0,121.0,22.0,05/31/2020
1.0,0.0,0.0,03/02/2020
20.0,190.0,0.0,03/04/2023
18.0,405.0,3.0,09/02/2020
26.0,412.0,4.0,08/25/2020
15.0,644.0,0.0,04/13/2022
17.0,116.0,0.0,09/23/2023
110.0,1757.0,28.0,12/09/2020
121.0,1923.0,17.0,11/24/2020
27.0,589.0,2.0,06/05/2022
32.0,564.0,3.0,08/20/2021
9.0,75.0,2.0,03/03/2024
30.0,327.0,2.0,12/23/2022
36.0,466.0,0.0,10/26/2022
13.0,199.0,1.0,08/31/2023
30.0,438.0,3.0,03/02/2023
35.0,692.0,5.0,11/15/2021
50.0,674.0,2.0,08/23/2022
29.0,635.0,1.0,05/21/2022
13.0,535.0,0.0,05/01/2022
21.0,258.0,7.0,02/15/2021
50.0,1002.0,4.0,07/19/2022
38.0,551.0,0.0,11/10/2022
39.0,504.0,1.0,11/15/2022
12.0,146.0,1.0,02/26/2024
20.0,757.0,2.0,04/29/2022
90.0,1223.0,21.0,12/23/2020
43.0,974.0,0.0,07/13/2022
17.0,191.0,2.0,08/22/2020
17.0,887.0,1.0,04/19/2022
20.0,681.0,0.0,04/21/2022
1.0,56.0,0.0,07/13/2023
87.0,1355.0,16.0,01/11/2021
61.0,331.0,1.0,12/10/2022
17.0,99.0,2.0,02/04/2024
55.0,399.0,9.0,05/06/2021
14.0,87.0,1.0,10/15/2023
26.0,383.0,4.0,08/28/2020
81.0,1507.0,20.0,01/24/2022
15.0,216.0,0.0,04/04/2023
114.0,3649.0,9.0,12/17/2021
45.0,437.0,2.0,11/25/2022
3.0,56.0,1.0,07/14/2023
35.0,361.0,1.0,10/14/2021
155.0,3073.0,21.0,01/14/2022
19.0,302.0,1.0,07/27/2021
37.0,526.0,19.0,02/03/2022
5.0,352.0,0.0,03/28/2022
14.0,349.0,9.0,03/12/2021
104.0,1856.0,32.0,12/04/2020
43.0,525.0,10.0,10/25/2020
98.0,921.0,43.0,05/08/2020
121.0,2789.0,10.0,11/06/2020
13.0,531.0,1.0,04/05/2022
13.0,176.0,0.0,09/08/2023
28.0,970.0,0.0,06/22/2022
43.0,1649.0,1.0,05/31/2022
29.0,184.0,14.0,06/18/2020
29.0,408.0,0.0,02/24/2023
108.0,1833.0,18.0,11/25/2020
33.0,192.0,3.0,12/31/2023
32.0,844.0,1.0,08/29/2022
129.0,248.0,4.0,03/28/2020
22.0,153.0,1.0,01/15/2024
19.0,362.0,1.0,07/27/2020
25.0,415.0,4.0,10/02/2020
26.0,347.0,3.0,08/14/2020
48.0,577.0,3.0,09/07/2021
36.0,777.0,0.0,08/30/2022
12.0,143.0,0.0,08/18/2023
63.0,438.0,6.0,04/17/2021
42.0,271.0,8.0,05/08/2021
28.0,258.0,3.0,11/05/2022
34.0,982.0,1.0,06/09/2022
11.0,139.0,0.0,09/02/2023
113.0,1703.0,19.0,12/10/2020
13.0,442.0,1.0,08/03/2021
17.0,256.0,0.0,03/30/2023
28.0,201.0,10.0,06/11/2020
23.0,237.0,4.0,10/02/2021
47.0,647.0,6.0,02/02/2021
58.0,864.0,5.0,04/12/2021
44.0,529.0,7.0,08/31/2021
21.0,239.0,4.0,10/09/2021
11.0,226.0,0.0,08/25/2023
29.0,179.0,1.0,01/22/2023
29.0,232.0,12.0,06/10/2020
62.0,495.0,18.0,01/10/2021
33.0,329.0,1.0,12/06/2023
52.0,538.0,9.0,02/04/2021
