Household/family type,SERIALNO,INTP_adj
1,9098,Other
1,9098,Other
3,9105,0.0
3,9105,0.0
3,9105,0.0
3,9105,0.0
3,9105,0.0
2,9207,0.0
2,9207,0.0
6,9248,0.0
Other,9268,0.0
6,9278,0.0
1,9405,0.0
1,9405,0.0
1,9405,0.0
Other,9485,0.0
2,9583,0.0
2,9583,0.0
6,9602,0.0
3,9650,0.0
3,9650,0.0
3,9731,0.0
3,9731,0.0
3,9737,0.0
3,9737,0.0
Other,9909,0.0
Other,9909,Other
1,9918,0.0
1,9918,0.0
1,9918,0.0
1,9918,0.0
1,9918,0.0
1,10009,0.0
1,10009,0.0
1,10009,0.0
1,10009,0.0
1,10009,0.0
3,10073,0.0
3,10073,0.0
3,10073,0.0
1,10132,0.0
1,10132,0.0
1,10132,0.0
1,10132,0.0
1,10132,0.0
Other,10152,0.0
Other,10162,0.0
2,10212,0.0
2,10212,0.0
2,10212,0.0
2,10212,Other
2,10212,0.0
2,10212,0.0
Other,10228,0.0
Other,10228,0.0
1,10259,Other
1,10259,0.0
6,10352,Other
1,10448,0.0
1,10448,0.0
1,10448,0.0
1,10448,0.0
1,10467,Other
1,10467,0.0
1,10467,0.0
2,10584,0.0
2,10584,0.0
2,10584,0.0
1,10595,0.0
1,10595,0.0
1,10595,0.0
1,10595,0.0
1,10595,0.0
Other,10672,0.0
Other,10672,0.0
3,10719,0.0
3,10719,0.0
3,10719,0.0
1,10776,0.0
1,10776,0.0
1,10776,0.0
1,10776,0.0
1,10776,0.0
Other,10829,0.0
Other,10829,0.0
6,10843,0.0
6,10877,Other
1,10903,Other
1,10903,Other
3,10907,0.0
3,10907,0.0
1,10995,0.0
1,10995,0.0
2,11030,0.0
2,11030,0.0
3,11167,Other
3,11167,Other
Other,11406,0.0
Other,11406,0.0
Other,11414,0.0
Other,11414,0.0
Other,11414,0.0
Other,11414,0.0
6,11468,0.0
3,11497,0.0
3,11497,0.0
3,11497,0.0
3,11497,0.0
3,11497,0.0
2,11519,0.0
2,11519,0.0
1,11534,Other
1,11534,Other
1,11614,0.0
1,11614,0.0
1,11614,0.0
1,11614,0.0
6,11618,0.0
Other,11650,Other
Other,11650,Other
1,11686,0.0
1,11686,0.0
1,11686,0.0
1,11686,0.0
Other,11707,0.0
Other,11707,0.0
1,11777,0.0
1,11777,0.0
1,11780,0.0
1,11780,0.0
1,11780,0.0
1,11780,0.0
1,11780,0.0
1,11780,0.0
2,11833,0.0
2,11833,0.0
3,12156,0.0
3,12156,0.0
3,12160,0.0
3,12160,0.0
3,12160,0.0
3,12160,0.0
3,12373,0.0
3,12373,0.0
3,12373,0.0
3,12373,0.0
1,12381,0.0
1,12381,0.0
1,12381,0.0
1,12381,0.0
1,12381,0.0
6,12410,0.0
6,12487,0.0
6,12515,0.0
1,12574,0.0
1,12574,0.0
1,12574,0.0
1,12574,0.0
1,12574,0.0
1,12574,0.0
3,12708,0.0
3,12708,0.0
3,12708,0.0
1,12757,Other
1,12757,0.0
1,12757,0.0
1,12757,0.0
1,12757,0.0
6,12801,0.0
1,12931,0.0
1,12931,0.0
1,13032,0.0
1,13032,0.0
1,13032,0.0
1,13032,0.0
1,13032,0.0
Other,13069,0.0
1,13109,0.0
1,13109,0.0
3,13158,0.0
3,13158,0.0
3,13169,Other
3,13169,0.0
Other,13196,0.0
Other,13296,0.0
Other,13296,0.0
Other,13437,0.0
Other,13443,0.0
Other,13443,0.0
1,13653,0.0
1,13653,0.0
1,13653,0.0
1,13653,0.0
